input_file,backup_file,row_index,run_id,elapsed_s,measurement_start_epoch_ms,measurement_end_epoch_ms_original,measurement_end_epoch_ms_repaired,original_interval_mismatch_ms,energy_fields_modified
results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,results/archive/rtx3090_component_finalplan_20260714_rerun1_wallclock_original_20260714_114619/results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,71,reg_mma_1783990070266_r0,9.991284426,1783990062502,1783990070259,1783990072493,-2234.284426,false
results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,results/archive/rtx3090_component_finalplan_20260714_rerun1_wallclock_original_20260714_114619/results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,72,reg_mma_1783990090685_r0,10.17323228,1783990080506,1783990090680,1783990090679,0.767720,false
results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,results/archive/rtx3090_component_finalplan_20260714_rerun1_wallclock_original_20260714_114619/results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,73,reg_operand_only_1783990100236_r0,1.540677874,1783990100929,1783990100231,1783990102470,-2238.677874,false
results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,results/archive/rtx3090_component_finalplan_20260714_rerun1_wallclock_original_20260714_114619/results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,74,reg_operand_only_1783990111936_r0,1.440708176,1783990110489,1783990111930,1783990111930,0.291824,false
results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,results/archive/rtx3090_component_finalplan_20260714_rerun1_wallclock_original_20260714_114619/results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,75,reg_mma_1783990130047_r0,10.080502714,1783990122237,1783990130042,1783990132318,-2275.502714,false
results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,results/archive/rtx3090_component_finalplan_20260714_rerun1_wallclock_original_20260714_114619/results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,76,reg_mma_1783990150456_r0,10.111932653,1783990140338,1783990150450,1783990150450,0.067347,false
results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,results/archive/rtx3090_component_finalplan_20260714_rerun1_wallclock_original_20260714_114619/results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,77,reg_operand_only_1783990165597_r0,7.088932739,1783990160744,1783990165588,1783990167833,-2244.932739,false
results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,results/archive/rtx3090_component_finalplan_20260714_rerun1_wallclock_original_20260714_114619/results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,78,reg_operand_only_1783990178411_r0,2.564646406,1783990175840,1783990178404,1783990178405,-0.646406,false
results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,results/archive/rtx3090_component_finalplan_20260714_rerun1_wallclock_original_20260714_114619/results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,79,reg_mma_1783990196489_r0,10.064968082,1783990188661,1783990196484,1783990198726,-2241.968082,false
results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,results/archive/rtx3090_component_finalplan_20260714_rerun1_wallclock_original_20260714_114619/results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,80,reg_mma_1783990216799_r0,10.005759207,1783990206788,1783990216794,1783990216794,0.240793,false
results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,results/archive/rtx3090_component_finalplan_20260714_rerun1_wallclock_original_20260714_114619/results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,81,reg_operand_only_1783990227322_r0,2.529794727,1783990224786,1783990227316,1783990227316,0.205273,false
results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,results/archive/rtx3090_component_finalplan_20260714_rerun1_wallclock_original_20260714_114619/results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,82,reg_operand_only_1783990239835_r0,2.229380854,1783990237600,1783990239829,1783990239829,-0.380854,false
results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,results/archive/rtx3090_component_finalplan_20260714_rerun1_wallclock_original_20260714_114619/results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,83,reg_mma_1783990257916_r0,10.067649899,1783990250101,1783990257911,1783990260169,-2257.649899,false
